imdb,32,The Usual Suspects,"Crime,Mystery,Thriller"
imdb,33,Seppuku,"Action,Drama,Mystery"
imdb,34,The Lion King,"Animation,Adventure,Drama"
imdb,35,The Pianist,"Biography,Drama,Music"
imdb,36,Back to the Future,"Adventure,Comedy,Sci-Fi"
imdb,37,Terminator 2: Judgment Day,"Action,Sci-Fi"
imdb,38,American History X,Drama
imdb,39,Modern Times,"Comedy,Drama,Family"
imdb,40,Psycho,"Horror,Mystery,Thriller"
imdb,41,Gladiator,"Action,Adventure,Drama"
imdb,42,City Lights,"Comedy,Drama,Romance"
imdb,43,The Departed,"Crime,Drama,Thriller"
imdb,44,The Intouchables,"Biography,Comedy,Drama"
imdb,45,Whiplash,"Drama,Music"
imdb,46,The Prestige,"Drama,Mystery,Sci-Fi"
imdb,47,Hotaru no haka,"Animation,Drama,War"
imdb,48,Once Upon a Time in the West,Western
imdb,49,Hamilton,"Biography,Drama,History"
imdb,50,Casablanca,"Drama,Romance,War"
rotten-tomatoes,1,Black Panther,"Fantasy,Action,Adventure"
rotten-tomatoes,2,Avengers: Endgame,"Fantasy,Adventure,Sci fi,Action"
rotten-tomatoes,3,Us,"Horror,Mystery and thriller"
rotten-tomatoes,4,Toy Story 4,"Fantasy,Kids and family,Animation,Adventure,Comedy"
rotten-tomatoes,5,Lady Bird,"Drama,Comedy"
rotten-tomatoes,6,Citizen Kane,Drama
rotten-tomatoes,7,Mission: Impossible - Fallout,"Adventure,Mystery and thriller,Action"
rotten-tomatoes,8,The Wizard of Oz,"Musical,Kids and family,Fantasy"
rotten-tomatoes,9,BlacKkKlansman,"Drama,Comedy,Crime"
rotten-tomatoes,10,Get Out,"Horror,Mystery and thriller,Comedy"
rotten-tomatoes,11,The Irishman,"Drama,Crime"
rotten-tomatoes,12,Mad Max: Fury Road,"Adventure,Action"
rotten-tomatoes,13,Spider-Man: Into the Spider-Verse,"Fantasy,Comedy,Kids and family,Animation,Adventure,Action"
rotten-tomatoes,14,Casablanca,Drama
rotten-tomatoes,15,Moonlight,Drama
rotten-tomatoes,16,A Star Is Born,"Drama,Music,Romance"
rotten-tomatoes,17,Wonder Woman,"Adventure,Action,Fantasy"
rotten-tomatoes,18,Dunkirk,"Drama,War,History"
rotten-tomatoes,19,Inside Out,"Comedy,Fantasy,Kids and family,Animation"
rotten-tomatoes,20,The Farewell,"Drama,Comedy"
rotten-tomatoes,21,A Quiet Place,"Horror,Mystery and thriller"
rotten-tomatoes,22,Modern Times,Comedy
rotten-tomatoes,23,Eighth Grade,"Drama,Comedy"
rotten-tomatoes,24,It Happened One Night,Romance
rotten-tomatoes,25,Booksmart,Comedy
rotten-tomatoes,26,A Night at the Opera,Comedy
rotten-tomatoes,27,Roma,Drama
rotten-tomatoes,28,The Third Man,Mystery and thriller
rotten-tomatoes,29,Coco,"Music,Kids and family,Animation,Adventure,Comedy"
rotten-tomatoes,30,Thor: Ragnarok,"Fantasy,Comedy,Sci fi,Adventure,Action"
rotten-tomatoes,31,The Shape of Water,"Fantasy,Romance"
rotten-tomatoes,32,Spotlight,Drama
rotten-tomatoes,33,Selma,"Drama,History"
rotten-tomatoes,34,The Godfather,"Drama,Crime"
rotten-tomatoes,35,La Grande illusion (Grand Illusion),"Drama,War"
rotten-tomatoes,36,Arrival,"Drama,Sci fi,Mystery and thriller"
rotten-tomatoes,37,Singin' in the Rain,"Comedy,Musical"
rotten-tomatoes,38,Snow White and the Seven Dwarfs,"Fantasy,Animation,Kids and family"
rotten-tomatoes,39,Logan,"Fantasy,Adventure,Action"
rotten-tomatoes,40,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),Horror
rotten-tomatoes,41,Double Indemnity,"Drama,Crime"
rotten-tomatoes,42,The Favourite,"Drama,Comedy"
rotten-tomatoes,43,The Big Sick,Romance
rotten-tomatoes,44,Spider-Man: Far From Home,"Fantasy,Adventure,Action,Comedy"
rotten-tomatoes,45,E.T. The Extra-Terrestrial,"Adventure,Sci fi,Kids and family"
rotten-tomatoes,46,Star Wars: The Last Jedi,"Fantasy,Adventure,Sci fi,Action"
rotten-tomatoes,47,All About Eve,Drama
rotten-tomatoes,48,Shadow of a Doubt,"Drama,Mystery and thriller,Crime"
rotten-tomatoes,49,The Kid,"Drama,Comedy"
rotten-tomatoes,50,Paddington 2,"Adventure,Kids and family,Comedy"
